Human genome chromosome 3	Chromosome 3	linear
Human genome chromosome 5	Chromosome 5	linear
Human genome chromosome 7	Chromosome 7	linear
Human genome chromosome 9	Chromosome 9	linear
Human genome chromosome 11	Chromosome 11	linear
Human genome chromosome 13	Chromosome 13	linear
Human genome chromosome 15	Chromosome 15	linear
Human genome chromosome 17	Chromosome 17	linear
Human genome chromosome 19	Chromosome 19	linear
Human genome chromosome 21	Chromosome 21	linear
SARS-CoV-2      OX463106.1 Severe acute respiratory syndrome coronavirus 2 genome assembly complete genome  linear
SARS-CoV-2      NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
